title,price
ASUS ROG STRIX LC 240 RGB LIQUID CPU COOLER,RM819.00
ASUS ROG Strix LC II 240 ARGB All-in-one Liquid CPU Cooler,RM849.00
ASUS ROG STRIX LC II 280 ARG ALL IN ONE CPU COOLER,RM899.00
ASUS ROG Strix LC II 280 ARGB All-in-one Liquid CPU Cooler,RM899.00
ASUS ROG Strix LC II 360 ARGB All-in-one Liquid CPU Cooler,"RM1,099.00"
ASUS ROG THOR 850W PLATINUM GAMING POWER SUPPLY WITH AURA SYNC AND OLED DISPLAY - BLACK ( 90YE0090-B001N0 ),"RM1,339.00"
ASUS TUF GAMING 550B 550WATT POWER SUPPLY,RM355.00
ASUS TUF GAMING GEFORCE RTX5070 Ti OC 16GB GDDR7 GPU GRAPHIC CARD,"RM5,659.00"
COLORFUL GeForce RTX 5060 Gaming DUO 8GB-V Graphic Card,"RM1,499.00"
COLORFUL GeForce RTX5060TI Gaming DUO 16GB GDDR7 Graphics Card,"RM2,279.00"
COLORFUL GeForce RTX5070 Battle AX 12GB GDDR7 Graphic Card,"RM3,099.00"
COLORFUL iGame GeForce RTX 5060 Ti Ultra W DUO OC 8GB-V Graphics Card,"RM1,879.00"
COLORFUL iGame GeForce RTX 5070 Ti Ultra W OC 16GB-V GDDR7 Graphics Card ( CFL-RTX5070 TI ULTRA W OC 16GB-V ),"RM4,399.00"
COLORFUL IGAME GEFORCE RTX 5070 ULTRA W OC 12GB GDDR7 Graphics Card ( CFL-RTX5070 ULTRA W OC 12GB-V ),"RM3,299.00"
COLORFUL IGAME GEFORCE RTX5060 TI ULTRA W OC 8GB GDDR7 GPU GRAPHIC CARD,"RM1,929.00"
COLORFUL IGAME GEFORCE RTX5060 ULTRA W DUO OC 8GB GDDR7 GPU GRAPHIC CARD,"RM1,599.00"
COLORFUL IGAME GEFORCE RTX5080 ADVANCED OC 16GB GDDR7 GPU GRAPHIC CARD,"RM5,959.00"
COLORFUL IGAME GEFORCE RTX5080 ULTRA W OC 16GB GDDR7 GPU 3YR WARRANTY,"RM5,399.00"
COLORFUL IGAME GEFORCE RTX5080 VULCAN OC 16GB-V GDDR7 GPU 3YR WARRANTY,"RM6,659.00"
COOLER MASTER EXTENSION SLEEVED CABLE KIT - BLUE BLACK,RM159.00
COOLER MASTER EXTENSION SLEEVED CABLE KIT - RED BLACK,RM159.00
ELGATO CAM LINK 4K 10GAM9901,RM649.00
ELGATO HD60 PRO PCIE HIGH DEFINITION GAME RECORDER @ 1080P 60FPS CAPTURE CARD 1GC109901002,RM969.00
ELGATO HD60 S+ HIGH DEFINITION GAME RECORDER EXTERNAL VIDEO CAPTURE CARD,RM979.00
ELGATO HD60S HIGH DEFINITION GAME RECORDER @ 1080P 60FPS CAPTURE CARD 1GC109901004,RM909.00
ELGATO STREAM DECK (15 KEYS LCD) 10GAA9901,RM719.00
ELGATO STREAM DECK XL (32 KEYS LCD) 10GAT9901,"RM1,109.00"
GIGABYTE GEFORCE RTX5050 WINDFORCE OC EDITION 8GB GDDR6 (3YW),"RM1,199.00"
GIGABYTE GEFORCE RTX5060 GAMING OC 8GD GDDR7 (3YW),"RM1,609.00"
GIGABYTE GEFORCE RTX5060 WINDFORCE OC 8GD GDDR7 (3YW),"RM1,479.00"
GIGABYTE GEFORCE RTX5070 GAMING OC 12G GDDR7 GPU GRAPHIC CARD,"RM2,899.00"
ID COOLING DF 12025-ARGB CASE FAN(1PC),RM55.00
ID COOLING XF-12025 ARGB CASE FAN TRIO SET,RM149.00
ID-COOLING DK-03I RGB PWM CPU COOLER,RM59.00
ID-COOLING PINKFLOW 240 AIO CPU LIQUID COOLING,RM379.00
ID-COOLING SE-214 RGB CPU COOLER,RM129.00
ID-COOLING SE-224 RGB CPU COOLER,RM159.00
KINGSTON HYPERX FURY RGB 16GB 3200MHZ DDR4 CL16 DIMM (8GB x 2) HX432C16FB3AK2/16,RM479.00
MSI GeForce RTX5060 Shadow 2X OC 8GB GDDR7 Graphic Card,"RM1,479.00"
MSI GeForce RTX5060TI Shadow 2X OC Plus 16GB GDDR7 Graphic Card,"RM2,599.00"
MSI Geforce RTX5060TI Shadow 2X OC Plus 8GB GDDR7 Graphic Card,"RM1,699.00"
MSI GEFORCE RTX5070 GAMING TRIO OC EDITION 12GB GDDR7 GPU GRAPHIC CARD,"RM3,199.00"
MSI GEFORCE RTX5070 SHADOW 2X OC EDITION 12GB GDDR7 GPU GRAPHIC CARD,"RM3,299.00"
MSI GEFORCE RTX5080 SHADOW 3X OC EDITION 16GB GDDR7 GPU GRAPHIC CARD,"RM6,099.00"
MSI GEFORCE RTX5090 VENTUS 3X OC EDITION 32GB GDDR7 GPU GRAPHIC CARD,"RM13,990.00"
MSI MAG A650BN 650W 80Plus Bronze Power Supply,RM289.00
MSI Mag Coreliquid 360R Liquid Cooler,RM679.00
MSI MAG Coreliquid C340 Liquid Cooler,RM529.00
MSI MAG FORGE M100R M-ATX GAMING CASE - BLACK,RM229.00
MSI MPG A850GF 850W 80Plus Gold Power Supply,RM679.00
MSI MPG Coreliquid K240 Liquid Cooler,RM999.00
MSI MPG CoreLiquid K240 Liquid Cooler,RM999.00
MSI PRO B550M-P GEN3 AM4 M-ATX MOTHERBOARD,RM459.00
MSI PRO B760M-A WIFI D4 LGA1700 M-ATX MOTHERBOARD,RM679.00
MSI PRO B760M-A WIFI DDR4 X4 LGA1700 M-ATX MOTHERBOARD,RM759.00
MSI PRO H610M-E DDR4 LGA1700 M-ATX MOTHERBOARD,RM339.00
PALIT GEFORCE RTX 5060 DUAL 8GB GDDR7 GPU GRAPHIC CARD,"RM1,549.00"
PALIT GEFORCE RTX 5060 INFINITY 3 8GB GDDR7 GPU GRAPHIC CARD,"RM1,559.00"
PALIT GEFORCE RTX5070 GAMING PRO 12GB GDDR7,"RM2,999.00"
PALIT GEFORCE RTX5070 INFINITY 3 12GB GDDR7 GRAPHIC CARD,"RM3,269.00"
PALIT GEFORCE RTX5070 WHITE OC 12GB GDDR7 (3YW),"RM2,859.00"
PALIT GEFORCE RTX5080 GAMING PRO 16GB GDDR7,"RM5,299.00"
ZOTAC GAMING GEFORCE RTX5060 AMP 8GB GDDR7 GPU GRAPHIC CARD,"RM1,559.00"
ZOTAC GAMING GEFORCE RTX5060 TWIN EDGE OC EDITION 8GB GDDR7 GPU GRAPHIC CARD,"RM1,519.00"
ZOTAC GAMING GEFORCE RTX5060TI 16GB TWIN EDGE OC - WHITE,"RM2,599.00"
ZOTAC GAMING GEFORCE RTX5070 OC EDITION 12GB GDDR7 GPU GRAPHIC CARD,"RM3,139.00"
ZOTAC GEFORCE RTX 5070 TWIN EDGE OC 12GB GDDR7 GPU GRAPHIC CARD,"RM2,999.00"
ZOTAC GEFORCE RTX5060TI TWIN EDGE OC EDITION 8GB GDDR7 GPU GRAPHIC CARD,"RM1,749.00"
